Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Penshurst Transfer Station,Southern Grampians Shire Council,Resource Recovery Centre,Transfer station,5408 Hamilton Highway,Penshurst,Southern Grampians,-37.86403588,142.320813
Peterborough Resource Recovery Centre,Moyne Shire Council,Resource Recovery Centre,Transfer station,MacGillivray Road,Peterborough,Moyne,-38.59386,142.86812
Piangil Transfer Station,Swan Hill Rural City Council,Resource Recovery Centre,Transfer station,246 Hayward Road,Piangil,Swan Hill,-35.075739,143.310848
Pomonal Resource Recovery Centre,Ararat Rural City Council,Resource Recovery Centre,Transfer station,Pomonal East Road,Pomonal,Ararat,-37.195185,142.637199
Porepunkah Transfer Station and Recycling Centre,Alpine Shire Council,Resource Recovery Centre,Transfer station,Tip Road,Porepunkah,Alpine,-36.69481,146.958276
Port Campbell Transfer Station,Corangamite Shire Council,Resource Recovery Centre,Transfer station,57 McRae Street,Port Campbell,Corangamite,-38.61951,143.00524
Port Phillip Resource Recovery Centre,Port Phillip City Council,Resource Recovery Centre,Transfer station,78 White Street,South Melbourne,Port Phillip,-37.828091,144.943376
Portland Landfill and Transfer Station,Glenelg Shire Council,Resource Recovery Centre,Transfer station,210 Cape Nelson Road,Portland,Glenelg,-38.36992,141.60281
Pyalong Resource Recovery Centre,Mitchell Shire Council,Resource Recovery Centre,Transfer station,Ladderhill Road,Pyalong,Mitchell,-37.1154272,144.8661004
Pyramid Hill Landfill,Loddon Shire Council,Landfill,Landfill unlicensed,Ballast Road,Pyramid Hill,Loddon,-36.064349,144.139112
Quambatook Transfer Station,Gannawarra Shire Council,Resource Recovery Centre,Transfer station,Meering Road,Quambatook,Gannawarra,-35.852129,143.500307
Quantong Transfer Station,Horsham Rural City Council,Resource Recovery Centre,Transfer station,497 Lanes Avenue,Quantong,Horsham,-36.756413,142.04402
Rainbow Transfer Station,Hindmarsh Shire Council,Resource Recovery Centre,Transfer station,240 Kruger Rd,Rainbow,Hindmarsh,-35.90835186,141.9708598
Robinvale Landfill,Swan Hill Rural City Council,Landfill,Landfill unlicensed,899 Robinvale – Sealake Road,Bannerton,Swan Hill,-34.680733,142.778585
Rochester Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,139 High Street,Rochester,Campaspe,-36.35106085,144.7103156
Rokewood Transfer Station,Golden Plains Shire Council,Resource Recovery Centre,Transfer station,141 Meadows Road,Rokewood,Golden Plains,-37.912242,143.714996
Romsey Transfer Station,Macedon Ranges Shire Council,Resource Recovery Centre,Transfer station,21 Johnston Court,Romsey,Macedon Ranges,-37.361233,144.768183
Ruffy Resource Recovery Centre,Strathbogie Shire Council,Resource Recovery Centre,Transfer station,2 Red Gate Lane,Ruffy,Strathbogie,-36.939551,145.476751
Rupanyup Transfer Station,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,32 Boyds Rd,Rupanyup,Yarriambiack,-36.61576037,142.634276
Rushworth Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,186 Nine Mile Road,Rushworth,Campaspe,-36.60120071,145.0007154
Rutherglen Transfer Station,Indigo Shire Council,Resource Recovery Centre,Transfer station,53 Cornishtown Road,Rutherglen,Indigo,-36.073422,146.489422
Sea Lake Transfer Station,Buloke Shire Council,Resource Recovery Centre,Transfer station,Robinvale-Sea Lake Road,Sea Lake,Buloke,-35.459765,142.854835
Seaspray Transfer Station,Wellington Shire Council,Resource Recovery Centre,Transfer station,34 Tip Road,Seaspray,Wellington,-38.366509,147.192214
Shepparton Resource Recovery Centre,Greater Shepparton City Council,Resource Recovery Centre,Transfer station,125 Wanganui Road,Shepparton,Greater Shepparton,-36.34766163,145.3880051
Simpson Transfer Station,Corangamite Shire Council,Resource Recovery Centre,Transfer station,150 Princetown Road,Simpson,Corangamite,-38.50095,143.20871
Skipton Transfer Station,Corangamite Shire Council,Resource Recovery Centre,Transfer station,98 Beaufort Road,Skipton,Corangamite,-37.67502338,143.3619132
Snake Valley Transfer Station,Pyrenees Shire Council,Resource Recovery Centre,Transfer station,298 Snake Valley-Morchup Road,Snake Valley,Pyrenees,-37.623074,143.575262
Tempy Landfill and Resource Recovery Centre,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,3270 Sunraysia Highway ,Tempy,Yarriambiack,-35.359321,142.428256
St Arnaud Transfer Station,Northern Grampians Shire Council,Resource Recovery Centre,Transfer station,329 Old Wedderburn Road,St Arnaud,Northern Grampians,-36.590533,143.327382
St James Transfer Station,Moira Shire Council,Resource Recovery Centre,Transfer station,75 Kelly Road,St James,Moira,-36.27822,145.877536
Stawell Transfer Station,Northern Grampians Shire Council,Resource Recovery Centre,Transfer station,36 Lavett Road,Stawell,Northern Grampians,-37.072681,142.810042
Stonnington Waste Transfer Station,Stonnington City Council,Resource Recovery Centre,Transfer station,43 Weir Street,Glen Iris,Stonnington,-37.848769,145.043011
Stratford Transfer Station,Wellington Shire Council,Resource Recovery Centre,Transfer station,93 Wyndham Street,Stratford,Wellington,-37.95760827,147.0932087
Strathfieldsaye Transfer Station,Greater Bendigo City Council,Resource Recovery Centre,Transfer station,998 Wellington Street,Strathfieldsaye,Greater Bendigo,-36.80961,144.359261
Strathmerton Transfer Station,Moira Shire Council,Resource Recovery Centre,Transfer station,4772 Murray Valley Highway,Strathmerton,Moira,-35.92472583,145.5226664
Swan Hill Big Green Shed,Swan Hill Rural City Council,Resource Recovery Centre,Transfer station,6859 Swan Hill-Sea Lake Road,Swan Hill,Swan Hill,-35.346242,143.511842
Swifts Creek Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,237 Cassilis Road,Swifts Creek,East Gippsland,-37.268307,147.698429
Talbot Transfer Station,Central Goldfields Shire Council,Resource Recovery Centre,Transfer station,41 Rocky Flat Road,Talbot,Central Goldfields,-37.16561389,143.713575
Tallangatta Resource Recovery Centre,Towong Shire Council,Resource Recovery Centre,Transfer station,767 Hardys Road,Tallangatta,Towong,-36.205275,147.337534
Timboon Transfer Station,Corangamite Shire Council,Resource Recovery Centre,Transfer station,5 Timboon-Curdies River Road,Timboon,Corangamite,-38.495064,142.98113
Toolleen Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,22 Cornella Toolleen Road,Toolleen,Campaspe,-36.72174175,144.6852873
Toolondo Transfer Station,Horsham Rural City Council,Resource Recovery Centre,Transfer station,Telangatuk East Rocklands Road,Toolondo,Horsham,-36.993956,141.933478
Trafalgar Transfer Station,Baw Baw Shire Council,Resource Recovery Centre,Transfer station,200 Giles Road,Trafalgar South,Baw Baw,-38.22151389,146.14795
